embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
text-embedding-3-small	baseline - q_trap	all	1	0.1	0.2	0.81375	0.70025	0.1135	0.139478	0.947	0.94525	-0.00175	0.932	0.931	0.74	0.617	0.958	0.953	0.862	0.756
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1.5	0.75	1	0.1855	0.072	0.1135	0.61186	0.92825	0.903	-0.02525	0.913	0.882	0.144	0.056	0.938	0.915	0.221	0.087
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	2	0.3	0.5	0.57475	0.46125	0.1135	0.197477	0.942	0.941	-0.001	0.929	0.929	0.506	0.403	0.951	0.951	0.625	0.505
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1	0.2	0.3	0.51775	0.4045	0.11325	0.218735	0.94175	0.9405	-0.00125	0.93	0.928	0.453	0.344	0.949	0.95	0.564	0.449
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1	0.1	0.2	0.6295	0.51775	0.11175	0.177522	0.94525	0.94175	-0.0035	0.93	0.93	0.563	0.453	0.955	0.949	0.674	0.564
text-embedding-3-small	baseline - q_trap	20	1.5	0.75	1	0.63	0.5185	0.1115	0.176984	0.94325	0.93925	-0.004	0.929	0.926	0.55	0.422	0.952	0.947	0.681	0.596
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	1	0.3	0.5	0.5705	0.46	0.1105	0.19369	0.9435	0.94	-0.0035	0.934	0.93	0.51	0.412	0.951	0.948	0.619	0.498
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	1	0.75	1	0.391	0.281	0.11	0.28133	0.93875	0.92925	-0.0095	0.929	0.903	0.314	0.125	0.949	0.947	0.488	0.42
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.25	0.3	0.5	0.18275	0.0735	0.10925	0.597811	0.91425	0.83525	-0.079	0.862	0.737	0.048	0.026	0.949	0.925	0.384	0.169
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.5	0.1	0.2	0.6455	0.5365	0.109	0.168861	0.94625	0.9435	-0.00275	0.937	0.933	0.576	0.458	0.954	0.952	0.707	0.62
text-embedding-3-small	baseline - q_trap	all	0.5	0.3	0.5	0.144	0.03525	0.10875	0.755208	0.92225	0.801	-0.12125	0.914	0.773	0.109	0.029	0.93	0.82	0.175	0.039
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.5	0.1	0.2	0.62575	0.517	0.10875	0.173791	0.945	0.942	-0.003	0.93	0.93	0.556	0.451	0.956	0.953	0.673	0.562
